ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P_root,mg P_g_root,percent_P_root,percent_C_root,percent_N_root,CN_root,13C_root,15N_root,plotID,decimalLatitude,decimalLongitude
107,NEON00ZFI,NEON00ZFI,NEON sampleCode (barcode): B00000025857; NEON sampleID: BBC.MLBS074347.20180816.2-10.POOL.AR,244685,1.64933333,0.0508,0.1402,29.7073491,1.485367455,0.001485367,44.21,0.89,49.8,-26.6,1.7,MLBS_074,37.377761,-80.524585
108,NEON00ZFK,NEON00ZFK,NEON sampleCode (barcode): B00000025853; NEON sampleID: BBC.MLBS074347.20180816.05-1.POOL.AR,244687,1.34666667,0.0508,0.1402,23.7493438,1.18746719,0.001187467,47.87,0.85,57.6,-28.4,0.8,MLBS_074,37.377761,-80.524585
109,NEON00ZFN,NEON00ZFN,NEON sampleCode (barcode): B00000025380; NEON sampleID: BBC.MLBS073277.20180815.2-10.POOL.AR,244690,1.35633333,0.0508,0.1402,23.9396325,1.196981625,0.001196982,45.97,0.56,82.6,-28.2,0.1,MLBS_073,37.378011,-80.525919
110,NEON00ZFO,NEON00ZFO,NEON sampleCode (barcode): B00000025363; NEON sampleID: BBC.MLBS073277.20180815.05-1.POOL.AR,244691,1.65866667,0.0508,0.1402,29.8910761,1.494553805,0.001494554,48.94,1.03,52.4,-28.6,0.7,MLBS_073,37.378011,-80.525919
111,NEON00ZGF,NEON00ZGF,NEON sampleCode (barcode): B00000025771; NEON sampleID: BBC.MLBS067054.20180814.2-10.POOL.AR,244718,1.34966667,0.0508,0.1402,23.808399,1.19041995,0.00119042,44.41,0.56,83.7,-28,-1.4,MLBS_067,37.37856,-80.52727
112,NEON00ZGH,NEON00ZGH,NEON sampleCode (barcode): B00000025775; NEON sampleID: BBC.MLBS067054.20180814.05-1.POOL.AR,244720,1.04166667,0.0508,0.1402,17.7454068,0.88727034,0.00088727,47.2,0.83,60.4,-28.7,-1.1,MLBS_067,37.37856,-80.52727
113,NEON00ZGT,NEON00ZGT,NEON sampleCode (barcode): B00000025358; NEON sampleID: BBC.MLBS063936.20180814.2-10.POOL.AR,244732,1.50566667,0.0508,0.1402,26.8792651,1.343963255,0.001343963,46.42,0.6,93.8,-28.2,-2.1,MLBS_063,31.853773,-88.161978
114,NEON00ZGU,NEON00ZGU,NEON sampleCode (barcode): B00000025360; NEON sampleID: BBC.MLBS063936.20180814.05-1.POOL.AR,244733,1.19566667,0.0508,0.1402,20.7769029,1.038845145,0.001038845,49.44,0.94,59.9,-28.8,-0.9,MLBS_063,31.857053,-88.161742
115,NEON02FC6,NEON02FC6,NEON sampleCode (barcode): A00000139928; NEON sampleID: BBC.WREF077575.20190903.0-1.POOL.AR,730563,1.27233333,0.0508,0.1402,24.90446735,1.245223368,0.001245223,45.24,0.81,55.8,-29.6,-0.8,WREF_077,45.823126,-121.958667
116,NEON02FCG,NEON02FCG,NEON sampleCode (barcode): A00000139927; NEON sampleID: BBC.WREF077575.20190903.1-2.POOL.AR,730573,0.948,0.0508,0.1402,16.16907216,0.808453608,0.000808454,47.19,0.59,79.4,-28.8,-1.8,WREF_077,45.823126,-121.958667
117,NEON02FC3,NEON02FC3,NEON sampleCode (barcode): A00000139666; NEON sampleID: BBC.WREF070145.20190821.0-1.POOL.AR,730560,1.71966667,0.0508,0.1402,30.38900344,1.519450172,0.00151945,44.8,0.67,67.1,-28.6,-0.4,WREF_070,45.824185,-121.955555
118,NEON02FCD,NEON02FCD,NEON sampleCode (barcode): A00000139688; NEON sampleID: BBC.WREF070145.20190821.1-2.POOL.AR,730570,1.15733333,0.0508,0.1402,19.66735395,0.983367698,0.000983368,51.16,0.52,98.9,-29,-2.9,WREF_070,45.824185,-121.955555
119,NEON02FEN,NEON02FEN,NEON sampleCode (barcode): A00000140149; NEON sampleID: BBC.WREF075096.20190826.2-10.POOL.AR,730652,0.785,0.0508,0.1402,12.6929134,0.63464567,0.000634646,49.35,0.31,160,-30.4,-3.9,WREF_075,45.826901,-121.958225
120,NEON02FEP,NEON02FEP,NEON sampleCode (barcode): A00000140105; NEON sampleID: BBC.WREF075096.20190826.0-1.POOL.AR,730654,1.56433333,0.0508,0.1402,32.8838488,1.64419244,0.001644192,47.27,0.7,68,-28.4,-2.8,WREF_075,45.826901,-121.958225
121,NEON02FDP,NEON02FDP,NEON sampleCode (barcode): A00000139877; NEON sampleID: BBC.WREF089080.20190903.0-1.POOL.AR,730618,1.61433333,0.0508,0.1402,28.82199313,1.441099656,0.0014411,42.61,0.77,55.4,-28,-1.5,WREF_089,45.822925,-121.960577
122,NEON02FE7,NEON02FE7,NEON sampleCode (barcode): A00000139879; NEON sampleID: BBC.WREF089080.20190903.2-10.POOL.AR,730636,0.73866667,0.0508,0.1402,11.7808399,0.589041995,0.000589042,47.47,0.44,-29.3,-29.3,-3.4,WREF_089,45.822925,-121.960577
123,NEON02FDS,NEON02FDS,NEON sampleCode (barcode): A00000139669; NEON sampleID: BBC.WREF086051.20190828.0-1.POOL.AR,730621,1.27833333,0.0508,0.1402,22.4041995,1.120209975,0.00112021,48.01,0.8,60.2,-29.3,-1.9,WREF_086,45.822279,-121.957115
124,NEON02FEA,NEON02FEA,NEON sampleCode (barcode): A00000139677; NEON sampleID: BBC.WREF086051.20190828.2-10.POOL.AR,730639,0.75266667,0.0508,0.1402,12.0564304,0.60282152,0.000602822,49.58,0.43,116.4,-29.1,-3.5,WREF_086,45.822279,-121.957115
125,NEON02FBS,NEON02FBS,NEON sampleCode (barcode): A00000101528; NEON sampleID: BBC.BONA093405.20190807.0-1.POOL.AR,730510,1.96633333,0.0508,0.1402,34.213382,1.7106691,0.001710669,48.81,1,49.1,-27.4,0.4,BONA_093,65.155786,-147.504653
126,NEON02FBU,NEON02FBU,NEON sampleCode (barcode): A00000101532; NEON sampleID: BBC.BONA093405.20190807.2-10.POOL.AR,730512,1.14933333,0.0508,0.1402,19.8648294,0.99324147,0.000993241,49.88,0.67,74.5,-27.7,-1.9,BONA_093,65.155786,-147.504653
127,NEON02FAZ,NEON02FAZ,NEON sampleCode (barcode): A00000101462; NEON sampleID: BBC.BONA084608.20190729.0-1.POOL.AR,730481,2.085,0.0508,0.1402,38.2834646,1.91417323,0.001914173,44.2,1.375,32.15,-29.7,1.4,BONA_084,65.155247,-147.512957
128,NEON02FB1,NEON02FB1,NEON sampleCode (barcode): A00000101466; NEON sampleID: BBC.BONA084608.20190729.2-10.POOL.AR,730483,1.48666667,0.0508,0.1402,26.5052493,1.325262465,0.001325262,49.4,0.62,80.3,-30,-0.4,BONA_084,65.155247,-147.512957
129,NEON02F9J,NEON02F9J,NEON sampleCode (barcode): A00000101333; NEON sampleID: BBC.BONA076947.20190826.0-1.POOL.AR,730429,1.43066667,0.0508,0.1402,25.4028871,1.270144355,0.001270144,48.93,0.95,51.5,-28.6,-0.8,BONA_076,65.155812,-147.502084
