uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"02e39844-a593-42d8-aae5-49e5c5c48f26","UNDE_003.basePlot.cfc","D05","UNDE","UNDE_003","distributed","WnrB9gmiM7J2iXXyXFMl3ThAIePwl82x7paul32GQUc=",,"WnrB9gmiM7J2iXXyXFMl3ThAIePwl82xsiHW7j5AvaU=","A00000077131","2019-06-13T19:13Z","2020-03-05","N",-3.6,-28.7,2.76,46.19,16.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"bf619959-a356-472b-840f-449b657a4ed1","UNDE_011.basePlot.cfc","D05","UNDE","UNDE_011","distributed","WnrB9gmiM7KTU20jre6nB1u+wdYl6Nc9xXS66P5BPQw=",,"WnrB9gmiM7KTU20jre6nB1u+wdYl6Nc9mBB3uhDWnlE=","A00000077182","2019-06-13T20:29Z","2020-03-05","N",-7.8,-29.1,0.81,48.46,59.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"9a480f9d-d8a0-4757-aa1a-99b075e2c3cd","UNDE_014.basePlot.cfc","D05","UNDE","UNDE_014","distributed","WnrB9gmiM7JycIzkm/+HI3G9lIM1wUpHW3keJ6uXzpw=",,"WnrB9gmiM7JycIzkm/+HI3G9lIM1wUpH3+fLGd3pZ/w=","A00000076958","2019-06-17T20:45Z","2020-03-05","N",-2.5,-27.1,1.99,45.47,22.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"f27d9717-35fd-4579-9239-61b0069a1c2d","UNDE_014.basePlot.cfc","D05","UNDE","UNDE_014","distributed","WnrB9gmiM7IGbrw8rGLETvA2FKqXGtZgnK7KJzwxECc=",,"WnrB9gmiM7IGbrw8rGLETvA2FKqXGtZgtWsoXqp5GHo=","A00000076951","2019-06-17T21:40Z","2020-03-05","N",-0.3,-31.1,3.26,45.63,14.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"565a48b9-a924-4f90-92a2-4d6688478122","UNDE_008.basePlot.cfc","D05","UNDE","UNDE_008","distributed","WnrB9gmiM7Jr4FEmVPzVJj+wNohOjPshhygmQPw7JQk=",,"WnrB9gmiM7Jr4FEmVPzVJj+wNohOjPshKRfPFVoP93M=","A00000076941","2019-06-18T15:15Z","2020-03-05","N",-1.6,-29.4,1.12,47.74,42.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1cdb2a26-f627-4c36-8105-dea03d7e86f6","UNDE_008.basePlot.cfc","D05","UNDE","UNDE_008","distributed","WnrB9gmiM7Jz1EV/dD385V0EeiKaTx6Mug5wO7eEG8c=",,"WnrB9gmiM7Jz1EV/dD385V0EeiKaTx6MoDdVhPIqsiU=","A00000076945","2019-06-18T16:18Z","2020-03-05","N",-3.6,-28.6,2.07,47.76,23.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"7eca5601-f8e1-49d2-bff5-3bf2433e0898","UNDE_008.basePlot.cfc","D05","UNDE","UNDE_008","distributed","WnrB9gmiM7Iqw7uk/lk6dnAv+oNRMmT1bNNvO/LTT2A=",,"WnrB9gmiM7Iqw7uk/lk6dnAv+oNRMmT1M3sR7pQDqp8=","A00000076960","2019-06-18T16:40Z","2020-03-05","N",-0.9,-26.0,2.52,49.14,19.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"24b7a918-2996-49af-9740-5d47e14807c1","UNDE_006.basePlot.cfc","D05","UNDE","UNDE_006","distributed","WnrB9gmiM7L9qaa4A1DE1mWRmW2/scZVknzQp0VxHow=",,"WnrB9gmiM7L9qaa4A1DE1mWRmW2/scZV32866RJ3RT0=","A00000077150","2019-06-18T18:50Z","2020-03-05","N",0.6,-30.5,2.60,46.44,17.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"dc00b82e-e6fd-4816-b4cc-ae9bdbe81dfb","UNDE_006.basePlot.cfc","D05","UNDE","UNDE_006","distributed","WnrB9gmiM7L9n4zA3ZXk0wZQVfbKXThRqWIebyIUv1M=",,"WnrB9gmiM7L9n4zA3ZXk0wZQVfbKXThRQoj6X1/GZuY=","A00000076954","2019-06-18T19:07Z","2020-03-05","N",-3.1,-27.2,1.99,47.10,23.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"24628d42-293d-49d1-9736-6b9bbd16822e","UNDE_015.basePlot.cfc","D05","UNDE","UNDE_015","distributed","WnrB9gmiM7J8+KKgV0QMSbxpXMsoobM8aDE3md1zn8w=",,"WnrB9gmiM7J8+KKgV0QMSbxpXMsoobM8vbvnwUgdfiQ=","A00000076719","2019-06-18T21:39Z","2020-03-05","N",-4.3,-27.5,0.88,47.71,54.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ba949c02-66ae-4eab-8f38-838b0974cee6","UNDE_015.basePlot.cfc","D05","UNDE","UNDE_015","distributed","WnrB9gmiM7JD3HqzGl84QjVnXsJeiZinFdqxYowJn2c=",,"WnrB9gmiM7JD3HqzGl84QjVnXsJeiZin8jXBsBoEw0U=","A00000076942","2019-06-18T22:09Z","2020-03-05","N",-3.7,-30.1,0.90,49.58,55.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4ee38d73-96a7-49a4-82cc-364bdb86eab8","UNDE_057.basePlot.cfc","D05","UNDE","UNDE_057","tower","WnrB9gmiM7IUiBQox5poj7VQaVdpYtQ9E+pZY14R+Ps=",,"WnrB9gmiM7IUiBQox5poj7VQaVdpYtQ9KzU8vWHlFQY=","A00000076716","2019-06-20T18:46Z","2020-01-16","N",-5.5,-29.4,1.55,48.15,31.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"5856b351-59ea-4e41-8156-8aecf25f81c3","UNDE_013.basePlot.cfc","D05","UNDE","UNDE_013","distributed","WnrB9gmiM7IpemP7BGzNnxe8P1CPTIPjsCGOCjHrowg=",,"WnrB9gmiM7IpemP7BGzNnxe8P1CPTIPjTA2/kyYiA3Y=","A00000076675","2019-06-25T21:04Z","2020-03-05","N",0.5,-30.8,3.31,44.35,13.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
